key,source,translation
"clinic.title","Clinic Portal",""
"clinic.back_to_site","Back to Website",""
"clinic.nav.dashboard","Dashboard",""
"clinic.nav.patients","Patients",""
"clinic.nav.quotes","Quotes",""
"clinic.nav.treatment_plans","Treatment Plans",""
"clinic.nav.treatment_mapper","Treatment Mapper",""
"clinic.nav.appointments","Appointments",""
"clinic.nav.messages","Messages",""
"clinic.nav.documents","Documents",""
"clinic.nav.payments","Payments",""
"clinic.nav.reports","Reports",""
"clinic.nav.analytics","Analytics",""
"clinic.nav.settings","Settings",""
"clinic.nav.testing","Testing Mode",""
"clinic.nav.logout","Log out",""
"clinic.dashboard.title","Clinic Dashboard",""
"clinic.dashboard.description","Manage your patients, appointments, and clinic operations",""
"clinic.patients.title","Patient Management",""
"clinic.patients.description","View and manage your patient records and treatment history",""
"clinic.quotes.title","Quote Management",""
"clinic.quotes.description","Generate and manage treatment quotes for patients",""
"clinic.treatment_plans.title","Treatment Plans",""
"clinic.treatment_plans.description","Create and manage treatment plans for your patients",""
"clinic.treatment_plans.new_button","New Treatment Plan",""
"clinic.treatment_plans.search_placeholder","Search by name or title...",""
"clinic.treatment_plans.error_loading","Error loading treatment plans:",""
"clinic.treatment_plans.no_plans_found","No treatment plans found",""
"clinic.treatment_plans.tabs.all","All",""
"clinic.treatment_plans.tabs.draft","Draft",""
"clinic.treatment_plans.tabs.sent","Sent",""
"clinic.treatment_plans.tabs.accepted","Accepted",""
"clinic.treatment_plans.tabs.in_progress","In Progress",""
"clinic.treatment_plans.tabs.completed","Completed",""
"clinic.treatment_plans.columns.patient","Patient",""
"clinic.treatment_plans.columns.title","Title",""
"clinic.treatment_plans.columns.created","Created",""
"clinic.treatment_plans.columns.status","Status",""
"clinic.treatment_plans.columns.payment","Payment",""
"clinic.treatment_plans.columns.total","Total",""
"clinic.treatment_plans.columns.actions","Actions",""
"clinic.treatment_plans.status.draft","Draft",""
"clinic.treatment_plans.status.sent","Sent",""
"clinic.treatment_plans.status.accepted","Accepted",""
"clinic.treatment_plans.status.in_progress","In Progress",""
"clinic.treatment_plans.status.completed","Completed",""
"clinic.treatment_plans.status.rejected","Rejected",""
"clinic.treatment_plans.status.cancelled","Cancelled",""
"clinic.treatment_plans.payment.paid","Paid",""
"clinic.treatment_plans.payment.partial","Partial",""
"clinic.treatment_plans.payment.pending","Pending",""
"clinic.treatment_plans.payment.refunded","Refunded",""
"clinic.treatment_plans.actions.send_to_patient","Send to Patient",""
"clinic.treatment_plans.view.title","Treatment Plan Details",""
"clinic.treatment_plans.view.description","View all details of this treatment plan.",""
"clinic.treatment_plans.view.error","Error loading treatment plan. Please try again.",""
"clinic.treatment_plans.view.patient","Patient",""
"clinic.treatment_plans.view.clinic","Clinic",""
"clinic.treatment_plans.view.created","Created",""
"clinic.treatment_plans.view.updated","Last Updated",""
"clinic.treatment_plans.view.appointment_date","Appointment Date",""
"clinic.treatment_plans.view.duration","Estimated Duration",""
"clinic.treatment_plans.view.not_specified","Not specified",""
"clinic.treatment_plans.view.notes","Additional Notes",""
"clinic.treatment_plans.view.treatment_items","Treatment Items",""
"clinic.treatment_plans.view.item","Item",""
"clinic.treatment_plans.view.price","Price",""
"clinic.treatment_plans.view.qty","Qty",""
"clinic.treatment_plans.view.total","Total",""
"clinic.treatment_plans.download.title","Downloading treatment plan",""
"clinic.treatment_plans.download.preparing","Preparing the document for download...",""
"clinic.treatment_plans.download.complete_title","Download complete",""
"clinic.treatment_plans.download.complete_description","Treatment plan has been downloaded successfully.",""
"clinic.treatment_plans.download.failed_title","Download failed",""
"clinic.treatment_plans.download.failed_description","Could not download the treatment plan.",""
"clinic.treatment_plans.download.button","Download PDF",""
"clinic.treatment_plans.send.title","Sending to patient",""
"clinic.treatment_plans.send.description","Sending treatment plan to {{name}}...",""
"clinic.treatment_plans.send.success_title","Success",""
"clinic.treatment_plans.send.success_description","Treatment plan has been sent to {{name}}.",""
"clinic.treatment_plans.send.failed_title","Send failed",""
"clinic.treatment_plans.send.failed_description","Could not send the treatment plan to the patient.",""
"clinic.treatment_plans.delete.success_title","Success",""
"clinic.treatment_plans.delete.success_description","Treatment plan has been deleted.",""
"clinic.treatment_plans.delete.failed_title","Delete failed",""
"clinic.treatment_plans.delete.failed_description","Could not delete the treatment plan.",""
"clinic.treatment_mapper.title","Treatment Mapper",""
"clinic.treatment_mapper.description","Map standard treatments to your clinic's specific procedures",""
"clinic.appointments.title","Appointment Management",""
"clinic.appointments.description","Manage patient appointments, schedules, and bookings",""
"clinic.messages.title","Messages",""
"clinic.messages.description","Communicate with patients and the MyDentalFly team",""
"clinic.documents.title","Document Management",""
"clinic.documents.description","Upload and manage patient documents and medical records",""
"clinic.payments.title","Payment Processing",""
"clinic.payments.description","Track payments, invoices, and financial records",""
"clinic.reports.title","Reporting",""
"clinic.reports.description","Generate and view clinic performance reports",""
"clinic.analytics.title","Analytics Dashboard",""
"clinic.analytics.description","Analyze clinic data and performance metrics",""
"clinic.settings.title","Clinic Settings",""
"clinic.settings.description","Manage your clinic profile, staff, and preferences",""
"navbar.home","Home",""
"navbar.blog","Blog",""
"navbar.pricing","Pricing",""
"navbar.team","Our Team",""
"form.description","Tell us your main dental treatment or area you'd like help with. On the next page, you'll be able to build your full treatment plan, add specific procedures, and see what to expect.",""
"form.treatmentCategory","Treatment Category",""
"form.dentalWork","Dental Work",""
"form.selectTreatment","Choose your main treatment (e.g. Implants, Veneers, Full Smile Makeover)",""
"form.treatments.whitening","Teeth Whitening",""
"form.treatments.bridges","Dental Bridges",""
"form.treatments.root_canal","Root Canal Treatment",""
"form.fromDate","From date",""
"form.toDate","To date",""
"form.notesPlaceholder","Tell us more about what you're looking for...",""
"form.submitting","Submitting...",""
"form.expectations.title","What to expect after submitting:",""
"form.expectations.response","Response within 24 hours",""
"form.expectations.options","Three custom-matched provider options",""
"form.expectations.pricing","Clear, all-inclusive pricing",""
"form.expectations.consultation","Follow-up consultation with our team",""
"form.privacy.title","Your Privacy Matters",""
"form.privacy.description","All information you provide is kept strictly confidential and is only shared with medical providers if you choose to proceed.",""
"form.success.title","Thank You!",""
"form.success.message","We'll get back to you within 24 hours with your personalized dental treatment options.",""
"form.success.toastTitle","Dental quote request submitted",""
"form.success.toastMessage","We'll get back to you within 24 hours with your personalized dental treatment options.",""
"form.error.title","Error submitting request",""
"form.error.message","There was an error sending your request. Please try again.",""
"common.name_placeholder","Enter your full name",""
"common.email_placeholder","Enter your email address",""
"common.phone","Phone Number",""
"common.actions","Actions",""
"common.view","View",""
"common.edit","Edit",""
"common.download","Download",""
"common.delete","Delete",""
"common.deleting","Deleting...",""
"common.cancel","Cancel",""
"common.unknown_error","Unknown error",""
"common.not_available","N/A",""
"common.confirm_delete.title","Are you sure?",""
"common.confirm_delete.description","This action cannot be undone. This will permanently delete the item and remove it from our servers.",""
"pricing.name","Your Name",""
"pricing.enter_name","Enter your full name",""
"pricing.email","Your Email",""
"pricing.enter_email","Enter your email address",""
"pricing.quote_summary_description","Personalized cost estimate based on your selections",""
"pricing.total_usd","Total (USD)",""
"pricing.get_accurate_quote_title","How to Get The Most Accurate Quote",""
"pricing.sample_quote_title","Sample Quote",""
"pricing.sample_quote_explanation","Here's an example of what your quote will look like, showing different treatment combinations with estimated costs and options from our partner clinics.",""
"pricing.popular_treatments","Popular Treatments",""
"pricing.recommended_combinations","Recommended Combinations",""
"pricing.simple_combination","Basic Package",""
"pricing.medium_combination","Comprehensive Package",""
"pricing.advanced_combination","Premium Package",""
"pricing.flight_cost_example","Sample Flight Cost",""
"pricing.flight_cost_note","Average round-trip from London to Istanbul",""
"pricing.uk_savings","Average savings compared to UK prices",""
"pricing.uk_savings_note","Based on UK private dental pricing surveys",""
"pricing.reassurance_message","Remember — your quote today gives you a clear guide on treatment pricing. Your final treatment plan will be tailored after your X-rays & consultation with our partner clinics however you will have the price list for your preferred clinic prior to the consultation to refer to.",""
"pricing.learn_more_button","Learn More About How We Quote",""
"pricing.implant_tooltip","Clinics use trusted implant brands for durability & patient safety. If you have a brand preference, let us know — we'll match you where possible.",""
"pricing.veneer_tooltip","Veneers come in various materials — chosen for beauty and long-lasting quality. Your clinic will guide you on the best choice for your smile.",""
"pricing.crown_tooltip","Crowns protect your teeth — clinics use brands known for strength & fit. Cosmetic preferences can be discussed during your consultation.",""
"pricing.patient_information","Patient Information",""
"pricing.travel_information","Travel Information",""
"pricing.travel_info_tooltip","Providing travel details helps us arrange your stay",""
"pricing.travel_month","Travel Month",""
"pricing.select_month","Select month",""
"pricing.departure_city","Departure City",""
"pricing.select_city","Select city",""
"pricing.treatment","Treatment",""
"pricing.our_patients_save","Our patients save an average of",""
"blog.title","Dental Treatment Blog",""
"blog.subtitle","Expert insights and guides to dental treatments in Istanbul",""
"blog.featuredPost","Featured Article",""
"blog.latestPosts","Latest Articles",""
"blog.readMore","Read more",""
"blog.writtenBy","Written by",""
"blog.relatedPosts","Related Articles",""
"blog.categories.all","All",""
"blog.categories.dentalTourism","Dental Tourism",""
"blog.categories.treatments","Treatments",""
"blog.categories.travel","Travel",""
"blog.ebook.title","10 Reasons Why Istanbul For Dental Treatment",""
"blog.ebook.subtitle","Free Expert Guide",""
"blog.ebook.description","Get our comprehensive guide explaining why Istanbul has become the world's leading destination for affordable, high-quality dental care.",""
"blog.ebook.benefit1","Discover potential cost savings of 50-70%",""
"blog.ebook.benefit2","Learn what makes Turkish dentistry world-class",""
"blog.ebook.benefit3","Get practical tips for planning your dental trip",""
"blog.ebook.button","Download Free Guide",""
"blog.ebook.downloadTitle","Get Your Free Dental Tourism Guide",""
"blog.ebook.downloadDescription","Enter your details below to receive our comprehensive guide to dental treatment in Istanbul.",""
"blog.ebook.consent","I agree to receive my free ebook and occasional updates about dental treatment options.",""
"blog.ebook.submitButton","Send Me The Free Guide",""
"blog.ebook.emailSubject","Your Free Guide: 10 Reasons Why Istanbul For Dental Treatment",""
"blog.ebook.emailMessage","Thank you for requesting our free dental tourism guide. We're preparing to send it to your inbox shortly.",""
"blog.ebook.success.title","Guide Sent Successfully!",""
"blog.ebook.success.message","We've sent your free guide to your email inbox.",""
"blog.ebook.success.checkInbox","If you don't see it, please check your spam/junk folder.",""
"blog.ebook.error.title","Something Went Wrong",""
"blog.ebook.error.message","We couldn't process your request. Please try again or contact us directly.",""
"team.title","Meet Our Team",""
"team.subtitle","Our experienced team is dedicated to providing exceptional dental tourism experiences",""
"team.members.raj.name","Raj Singh",""
"team.members.raj.role","Founder & CEO",""
"team.members.raj.bio","Raj Singh founded Istanbul Dental Smile after his own transformative dental tourism experience in Istanbul. With over 10 years in healthcare management, Raj combines his business expertise with personal passion to provide exceptional dental tourism services.",""
"team.members.destina.name","Destina Yasar",""
"team.members.destina.role","Chief Patient Coordinator",""
"team.members.destina.bio","Destina Yasar oversees all patient coordination at Istanbul Dental Smile, ensuring seamless experiences from initial inquiry to post-treatment care. Born and raised in Istanbul, Destina brings invaluable local knowledge and cultural understanding to the team.",""
"team.values.title","Our Core Values",""
"team.values.subtitle","These principles guide everything we do at Istanbul Dental Smile",""
"team.values.trust.title","Trust & Transparency",""
"team.values.trust.description","We provide complete transparency in pricing, treatment options, and clinic credentials, ensuring you can make informed decisions with confidence.",""
"team.values.quality.title","Quality Assurance",""
"team.values.quality.description","We partner only with clinics that meet our rigorous standards for facilities, hygiene, technology, and patient outcomes.",""
"team.values.care.title","Personalized Care",""
"team.values.care.description","Each patient receives a customized experience tailored to their dental needs, budget, travel preferences, and cultural background.",""
"team.cta.title","Let's Start Your Dental Journey Together",""
"team.cta.subtitle","Our team is ready to answer your questions and help you plan your dental treatment in Istanbul.",""
"team.cta.quote_button","Get a Free Quote",""
"team.cta.contact_button","Contact Us",""
