key,source,translation
"clinic.nav.treatment_mapper","Treatment Mapper",""
"clinic.nav.payments","Payments",""
"clinic.nav.testing","Testing Mode",""
"clinic.dashboard.description","Manage your patients, appointments, and clinic operations",""
"clinic.quotes.description","Generate and manage treatment quotes for patients",""
"clinic.treatment_plans.description","Create and manage treatment plans for your patients",""
"clinic.treatment_plans.new_button","New Treatment Plan",""
"clinic.treatment_plans.search_placeholder","Search by name or title...",""
"clinic.treatment_plans.error_loading","Error loading treatment plans:",""
"clinic.treatment_plans.no_plans_found","No treatment plans found",""
"clinic.treatment_plans.tabs.all","All",""
"clinic.treatment_plans.tabs.draft","Draft",""
"clinic.treatment_plans.tabs.sent","Sent",""
"clinic.treatment_plans.tabs.accepted","Accepted",""
"clinic.treatment_plans.tabs.in_progress","In Progress",""
"clinic.treatment_plans.tabs.completed","Completed",""
"clinic.treatment_plans.columns.patient","Patient",""
"clinic.treatment_plans.columns.title","Title",""
"clinic.treatment_plans.columns.created","Created",""
"clinic.treatment_plans.columns.status","Status",""
"clinic.treatment_plans.columns.payment","Payment",""
"clinic.treatment_plans.columns.total","Total",""
"clinic.treatment_plans.columns.actions","Actions",""
"clinic.treatment_plans.status.sent","Sent",""
"clinic.treatment_plans.status.accepted","Accepted",""
"clinic.treatment_plans.status.in_progress","In Progress",""
"clinic.treatment_plans.status.rejected","Rejected",""
"clinic.treatment_plans.payment.paid","Paid",""
"clinic.treatment_plans.payment.partial","Partial",""
"clinic.treatment_plans.payment.pending","Pending",""
"clinic.treatment_plans.payment.refunded","Refunded",""
"clinic.treatment_plans.actions.send_to_patient","Send to Patient",""
"clinic.treatment_mapper.title","Treatment Mapper",""
"clinic.treatment_mapper.description","Map standard treatments to your clinic's specific procedures",""
"clinic.appointments.description","Manage patient appointments, schedules, and bookings",""
"clinic.messages.description","Communicate with patients and the MyDentalFly team",""
"clinic.payments.title","Payment Processing",""
"clinic.payments.description","Track payments, invoices, and financial records",""
"clinic.reports.description","Generate and view clinic performance reports",""
"clinic.analytics.description","Analyze clinic data and performance metrics",""
"clinic.settings.description","Manage your clinic profile, staff, and preferences",""
"hero.title","Your Perfect Smile Awaits in Istanbul",""
"hero.subtitle","Compare treatment options from top-rated dental clinics in Istanbul",""
"hero.cta","Request a Free Quote",""
"form.title","Start Building Your Personalised Dental Quote",""
"form.description","Tell us your main dental treatment or area you'd like help with. On the next page, you'll be able to build your full treatment plan, add specific procedures, and see what to expect.",""
"form.name","Full Name",""
"form.email","Email Address",""
"form.phone","Phone Number",""
"form.treatment","Treatment Needed",""
"form.treatmentCategory","Treatment Category",""
"form.dentalWork","Dental Work",""
"form.selectTreatment","Choose your main treatment (e.g. Implants, Veneers, Full Smile Makeover)",""
"form.treatments.veneers","Dental Veneers",""
"form.treatments.implants","Dental Implants",""
"form.treatments.crowns","Dental Crowns",""
"form.treatments.hollywood","Hollywood Smile",""
"form.treatments.whitening","Teeth Whitening",""
